Citycode,cluster
110000,0
120000,1
130100,2
130200,2
130300,2
130400,2
130500,0
130600,2
130700,0
130800,1
130900,0
131000,2
131100,0
140100,2
140200,1
140300,1
140400,2
140500,1
140600,1
140700,0
140800,2
140900,0
141000,1
141100,1
150100,1
150200,2
150300,2
150400,2
150500,0
150700,2
150800,1
150900,0
210100,2
210200,2
210300,2
210400,1
210500,2
210600,1
210700,2
210800,0
210900,2
211000,2
211100,2
211200,0
211300,2
211400,2
220100,2
220200,1
220300,2
220500,2
220600,2
220700,0
220800,0
230100,2
230200,0
230300,2
230600,2
230700,1
230800,2
230900,2
231000,2
231100,0
231200,0
310000,1
320100,2
320200,0
320300,2
320400,0
320500,0
320600,0
320700,2
320800,0
320900,0
321000,0
321100,1
321200,0
321300,0
330100,0
330200,0
330300,0
330400,0
330500,0
330600,0
330700,0
330800,0
330900,0
331000,0
331100,0
340100,0
340200,0
340300,0
340400,0
340500,0
340600,0
340700,2
340800,0
341000,0
341100,0
341200,0
341300,0
341500,0
341600,0
341700,0
341800,0
350100,0
350200,0
350300,0
350400,0
350500,0
350600,0
350700,0
350800,0
350900,0
360100,0
360200,0
360300,0
360400,0
360500,0
360600,2
360700,0
360800,0
360900,0
361000,0
361100,0
370100,2
370200,0
370300,2
370400,2
370500,2
370600,2
370700,2
370800,1
370900,2
371000,2
371100,2
371300,2
371400,0
371500,2
371600,0
371700,2
410100,0
410200,0
410300,2
410400,0
410500,2
410600,0
410700,0
410800,2
410900,2
411000,0
411100,2
411200,2
411300,0
411400,0
411500,0
411600,0
411700,0
420100,0
420200,2
420300,2
420500,2
420600,1
420700,0
420800,2
420900,0
421000,0
421200,0
421300,0
430100,0
430200,2
430300,0
430400,0
430500,0
430600,2
430700,0
430800,0
430900,0
431000,0
431100,0
431200,0
431300,0
440100,0
440200,2
440300,0
440400,0
440500,2
440600,0
440700,0
440800,0
440900,0
441200,0
441300,0
441400,0
441500,0
441600,0
441700,0
441800,0
441900,0
442000,0
445100,0
445200,0
445300,0
450100,0
450200,2
450300,2
450400,0
450500,0
450600,0
450700,0
450800,0
450900,0
451000,0
451100,0
451200,1
451300,2
451400,0
460200,0
500000,1
510100,0
510300,0
510400,2
510500,0
510600,0
510700,0
510800,0
510900,0
511000,0
511100,0
511300,0
511400,0
511500,0
511600,0
511700,0
511800,0
511900,0
512000,0
520100,2
520200,1
520300,0
520400,0
530100,2
530300,1
530400,2
530500,0
530600,0
530700,0
530800,0
530900,0
540100,2
610100,0
610200,0
610300,2
610400,1
610500,1
610600,1
610700,0
610800,0
610900,0
611000,0
620100,2
620300,2
620400,2
620500,0
620600,2
620700,0
620800,2
620900,2
621000,0
621100,0
621200,0
630100,2
640100,1
640200,1
640300,2
640400,0
640500,2
650100,2
650200,2
