UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
1859.0,1385.58,7.44,15.94,99.59,0.864,213308300,0.75,9174,22710,87.67,110000,16405,60.41,2014,79475485.6059406,3636.17,316.633126039873,18.8057264697,798.03616,73.7652020956,2827117.0,198124.0,86.1
642.91,797.1,16.71,9.73,96.23,0.8227,157269300,1.28,19011,112129,98.91,120000,11924,41.82,2014,133682904.430543,3977.05,243.210207092835,28.0281200893,751.646095717884,88.5368223477,1089967.0,843998.0,100.0
262.46,264.01,18.57,15.33,71.98,0.4759,51702653,9.43,24024,104277,95.1,130100,14058,48.98,2014,87386169.9940475,2810.34,278.740405159085,10.1605595796,496.948051948052,99.3427208701,72908.0,747318.0,95.85
193.49,249.0,15.67,15.08,100.0,0.5621,62253023,8.97,13973,536092,70.0,130200,13808,41.17,2014,294831658.046986,3396.75,304.507580093707,16.2519997169,379.086848271822,79.1431142013,81583.0,923268.0,95.0
89.56,102.85,19.77,20.41,157.94,0.4359,12000219,14.55,6273,59221,65.0,130300,7792,92.87,2014,23270586.2657788,1000.45,377.527435411712,7.0984231943,256.816903794038,63.8023785184,18960.0,124658.0,98.38
149.93,123.73,19.89,18.98,100.0,0.4913,30800054,13.09,6388,301827,95.0,130400,12070,46.52,2014,130311130.982734,2593.38,281.103145924114,10.4875353166,532.952323923581,96.8714676744,67640.0,598627.0,97.56
87.68,89.58,15.59,12.53,99.02,0.4543,16469408,16.6,14323,131568,95.29,130500,12442,36.89,2014,48079088.8431143,2712.07,280.23372410511,6.07256637168,395.780623179645,102.920098091,19207.0,104511.0,93.28
110.45,146.03,19.92,10.52,82.37,0.3799,30352036,14.01,14200,53790,86.2,130600,22200,40.49,2014,45133154.7848198,3318.11,302.085621183055,6.12146077547,342.680404307803,89.1637493325,22710.0,334749.0,91.39
85.0,86.0,15.53,12.33,88.0,0.501,13489726,17.76,6204,51654,44.1,130700,36787,43.38,2014,42492948.5406225,1201.96,345.414680295064,1.65984877332,78.2118961737039,42.2464141514,15201.0,393869.0,91.6
52.01,115.44,13.24,24.76,88.41,0.3293,13425500,16.81,1560,76895,6.0,130800,39491,41.91,2014,29671379.4144066,567.02,440.911730949495,1.15613119075,57.632298583625,46.7106236752,16660.0,97771.0,92.34
52.3,68.12,17.19,10.68,93.55,0.3158,31333822,10.14,9490,63451,99.88,130900,14140,37.15,2014,38362902.7274356,2779.49,255.118433242818,9.22488305523,346.035282258065,91.5062639331,34954.0,125011.0,99.04
46.0,65.61,17.39,13.46,29.41,0.3323,21759631,9.45,5149,38713,100.0,131000,6415,44.42,2014,31600829.4242735,1727.72,215.284694129865,19.7316806985,461.026466604147,96.6993115409,29444.0,26151.0,93.5
35.56,46.4,20.14,12.15,100.0,0.4414,11491345,14.49,4966,22720,99.6,131100,8834,42.89,2014,31510385.2993029,1955.81,285.92478150957,4.74966078697,340.308116808462,100.441443374,8237.0,38668.0,81.2
302.0,330.0,11.26,10.94,100.0,0.8425,25310917,1.54,3975,59441,55.25,140100,6905,44.77,2014,57414874.38756,703.3,393.914262129688,11.1154570477,418.828462142017,54.6810299968,141469.0,585504.0,85.85
120.12,125.2,16.21,8.84,92.0,0.6004,10017256,5.7,4907,58038,91.34,140200,14059,38.76,2014,52376892.6075552,756.4,307.94050198035,4.28905306528,158.133523925575,43.4321409778,12915.0,303980.0,85.0
57.97,54.82,14.02,10.85,72.0,0.6496,6166154,1.79,614,23315,21.05,140300,4564,40.44,2014,16768428.3752928,207.9,375.630409593104,5.24440052701,205.647241532318,60.423182608,8329.0,407675.0,87.0
68.82,59.3,8.79,12.35,80.05,0.4846,13311415,4.37,7951,208640,66.41,140400,13967,46.08,2014,63824360.3001768,517.19,435.810113044806,5.47437272142,168.068861386139,62.7089037647,14734.0,167257.0,92.73
47.0,52.0,12.17,11.94,100.0,0.5649,10358203,4.22,5741,66631,78.0,140500,9425,40.11,2014,42537433.1236224,403.33,402.691443850267,5.24601657106,171.518386714116,68.0712302529,19770.0,177935.0,94.7
34.11,41.6,16.87,10.86,91.22,0.5215,10034100,6.12,1780,32620,86.86,140600,10630,50.05,2014,45965529.5512827,467.97,296.397493139722,5.63258395259,108.206635188867,43.0173072265,9705.0,192047.0,97.3
46.9,69.91,17.37,16.68,96.6,0.5045,10413000,9.92,3182,82422,79.45,140700,16370,37.92,2014,41116292.040681,839.9,429.429435702154,4.75295839941,138.006203938877,58.9353923599,19176.0,549957.0,96.6
39.0,46.0,16.65,10.51,96.0,0.4445,12017177,16.41,8281,117543,44.6,140800,14234,34.19,2014,62865789.2457874,1551.54,370.859091118059,3.58578965881,259.159166295361,75.1379680066,18307.0,765020.0,98.8
26.39,36.0,18.96,16.5,46.11,0.4466,6803394,9.55,2691,99598,70.92,140900,25148,32.11,2014,28408027.2695401,571.04,372.084441830882,2.59062934286,82.9448345568677,46.6578173245,8607.0,141792.0,95.01
52.63,54.0,10.63,11.13,76.14,0.4714,12132401,7.82,5941,91710,71.68,141000,20310,37.37,2014,65905640.2557806,1167.92,417.968541836522,3.09704766129,150.313546007241,63.4564173611,13922.0,428779.0,82.65
25.32,23.8,11.29,13.02,78.33,0.4441,11013462,6.24,4199,113648,81.83,141100,21143,39.88,2014,48331749.104471,743.95,404.159793903088,4.19829545455,121.982212609355,53.4771788958,15845.0,159505.0,82.28
127.81,230.0,11.91,17.32,98.74,0.6749,28940500,4.34,7249,67616,39.64,150100,17179,40.27,2014,56867243.2701577,506.68,283.750353958865,4.49071000058,110.88545233204,40.1531788397,36005.0,2612705.0,81.02
141.7,190.46,14.51,13.04,95.46,0.8234,36363100,2.77,3858,111866,66.13,150200,27737,42.71,2014,83426883.5924489,757.51,158.878196805658,2.14595789397,62.9452716579537,36.9107666762,51548.0,353801.0,85.37
