UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
1912.8,1469.05,8.04,16.63,100.0,0.8757,416110000,0.27,7291,4037,53.92,110000,16405,49.77,2022,77157245.1958309,3841.57,448.204741872784,27.3147335041,830.56944,29.6852382375,4887041.0,334596.0,98.07,0.8757,0.23417067967083208,0.9973,27.3147335041
1160.07,1264.46,16.11,9.98,100.0,0.8511,163110000,1.67,18074,6501,98.9,120000,11924,38.41,2022,143018498.073608,4342.19,367.199027209926,34.2142975343,777.648645598194,37.1632095342,621605.0,1783966.0,98.45,0.8511,0.36415548473666554,0.9833,34.2142975343
349.41,334.52,17.06,14.59,100.0,0.7144,71010000,7.86,7706,6933,78.34,130100,14058,41.33,2022,87133244.3674341,3064.13,378.859731512662,17.9730364257,517.712842712843,42.9881519757,214508.0,1499062.0,99.76,0.7144,0.2179634371887893,0.9214,17.9730364257
195.67,249.5,20.76,16.69,100.0,0.6579,89010000,7.17,9719,37965,73.17,130200,13808,43.97,2022,274048625.065149,3806.0,437.419146461711,22.738887316,381.832124903326,34.7946110758,105424.0,1949644.0,99.27,0.6579,0.27563731170336037,0.9283,22.738887316
106.55,149.81,18.16,17.25,100.0,0.6547,19100000,13.21,2420,13898,60.51,130300,7792,40.75,2022,24969363.3558051,1109.92,512.896990815342,14.3955176366,266.253382949932,30.5528068435,20585.0,247074.0,97.1,0.6547,0.1424435318275154,0.8679,14.3955176366
200.09,192.2,20.04,16.79,100.0,0.522564638286758,43460000,10.12,1190,12676,80.07,130400,12070,48.15,2022,119662133.813304,2877.83,331.448329704178,18.4631011609,553.79378386085,47.618557651,97443.0,1142419.0,99.97,0.522564638286758,0.23842833471416736,0.8988,18.4631011609
76.0,135.0,33.87,16.05,100.0,0.5525,25470000,13.77,4155,5413,95.49,130500,12442,43.39,2022,48562928.9763911,2975.44,336.10395471736,16.9524346076,413.274111117217,45.3465418756,56281.0,175975.0,98.98,0.5525,0.2391448320205755,0.8623000000000001,16.9524346076
146.04,209.78,22.84,13.21,100.0,0.5908,46080000,12.42,7776,4306,73.08,130600,22200,43.99,2022,51249138.2428478,3729.99,417.28708350413,15.9681181609,355.430780338127,36.8779587372,140928.0,788717.0,99.47,0.5908,0.16801756756756756,0.8758,15.9681181609
95.07,101.8,20.0,14.27,100.0,0.6748,17750000,17.88,1022,4749,37.29,130700,36787,42.52,2022,41447927.7898979,1411.07,405.126046723179,7.43130373272,81.2356071857981,22.6105169073,29511.0,877845.0,96.9,0.6748,0.03835784380351755,0.8212,7.43130373272
55.11,81.06,22.05,19.96,100.0,0.4438,17800000,23.6,1107,12231,22.3,130800,39491,43.18,2022,29527497.2650491,782.59,527.448407648166,6.08767574414,60.0043832390174,22.3100178157,23016.0,198787.0,96.67,0.4438,0.01981692031095693,0.764,6.08767574414
60.45,89.71,21.71,13.9,100.0,0.5284,43880000,8.38,3288,7542,84.62,130900,14140,44.87,2022,47881405.5006975,3273.88,337.402128241976,20.0202386768,360.898852772467,39.8791425965,48362.0,210715.0,99.98,0.5284,0.23153323903818954,0.9162,20.0202386768
56.52,80.12,23.15,15.2,100.0,0.6601,35650000,6.46,1005,2880,77.0,131000,6415,47.59,2022,31084949.2150291,1949.81,358.87650956926,30.1236567513,480.339585287069,39.2115801761,65286.0,25927.0,99.3,0.6601,0.30394544037412313,0.9354,30.1236567513
